"No.","Time","Source","Destination","Protocol","Length","Info"
"11857","29.099065","192.168.100.6","202.28.77.115","ICMP","42","Echo (ping) request  id=0x306b, seq=0/0, ttl=40 (reply in 11876)"
"11861","29.099851","192.168.100.6","202.28.77.115","TCP","66","62627  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"11875","29.131174","202.28.77.115","192.168.100.6","TCP","60","443  >  62627 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"11876","29.132299","202.28.77.115","192.168.100.6","ICMP","60","Echo (ping) reply    id=0x306b, seq=0/0, ttl=250 (request in 11857)"
"11916","29.190464","192.168.100.6","202.28.77.115","TCP","66","62628  >  22 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"11917","29.190888","192.168.100.6","202.28.77.115","TCP","66","62629  >  995 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"11918","29.192049","192.168.100.6","202.28.77.115","TCP","66","62630  >  1723 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"11919","29.192392","192.168.100.6","202.28.77.115","TCP","66","62631  >  1720 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"11920","29.192675","192.168.100.6","202.28.77.115","TCP","66","62632  >  8080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"11921","29.192957","192.168.100.6","202.28.77.115","TCP","66","62633  >  445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"11922","29.193256","192.168.100.6","202.28.77.115","TCP","66","62634  >  993 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"11923","29.193534","192.168.100.6","202.28.77.115","TCP","66","62635  >  143 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"11924","29.193826","192.168.100.6","202.28.77.115","TCP","66","62636  >  23 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"11925","29.194092","192.168.100.6","202.28.77.115","TCP","66","62637  >  587 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12128","29.635703","192.168.100.6","202.28.77.115","TCP","66","[TCP Port numbers reused] 62627  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12140","29.667083","202.28.77.115","192.168.100.6","TCP","60","443  >  62627 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"12330","30.178518","192.168.100.6","202.28.77.115","TCP","66","[TCP Port numbers reused] 62627  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12336","30.193668","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62633  >  445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12337","30.193668","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62634  >  993 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12338","30.193709","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62628  >  22 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12339","30.193742","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62629  >  995 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12340","30.193772","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62631  >  1720 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12341","30.193800","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62630  >  1723 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12342","30.194037","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62632  >  8080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12350","30.209576","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62637  >  587 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12351","30.209576","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62635  >  143 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12352","30.209588","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62636  >  23 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12353","30.209654","202.28.77.115","192.168.100.6","TCP","60","443  >  62627 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"12383","30.292960","192.168.100.6","202.28.77.115","TCP","66","62638  >  587 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12384","30.293400","192.168.100.6","202.28.77.115","TCP","66","62639  >  23 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12385","30.293755","192.168.100.6","202.28.77.115","TCP","66","62640  >  143 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12386","30.294124","192.168.100.6","202.28.77.115","TCP","66","62641  >  993 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12387","30.294420","192.168.100.6","202.28.77.115","TCP","66","62642  >  445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12388","30.294696","192.168.100.6","202.28.77.115","TCP","66","62643  >  8080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12389","30.294975","192.168.100.6","202.28.77.115","TCP","66","62644  >  1720 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12390","30.295458","192.168.100.6","202.28.77.115","TCP","66","62645  >  1723 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12391","30.295741","192.168.100.6","202.28.77.115","TCP","66","62646  >  995 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
